album_id,album_name,album_release_date
4A8gFwqd9jTtnsNwUu3OQx,The Long Road Home - The Ultimate John Fogerty / Creedence Collection,2005-12-14
2c965LEDRNrXXCeBOAAwns,The Collection,2015-03-27
3S404OgKoVQSJ3xXrDVlp8,Bella Donna (Deluxe Edition),2016-11-04
1y5KGkUKO0NG32MhIIagCA,"Love, Ella",2007-05-03
6f4b9wVTkKAf096k4XG6x5,Shapes of Rhythm/Woman Is Sweeter,2000-01-01
7gmak9ZGm10y4PtZa9SBQn,Ultimate Sinatra,2015-04-17
2uqlkJu6vckJahCsp6Hfcn,The Complete Ella And Louis On Verve,1997-05-20
33oCBSZiLbfqyOnTTQ4Tct,B. G. In Hi Fi,1990-01-01
4B0pF1WLB3pCaZ4eTx5U8S,Quiet Kenny,1992-01-01
4LEnATSqKeANOJ0mLUAuCE,Song For My Father,1999-01-01
04l5TDoVZFNPvExGNdVjOj,Boss Tenor (RVG Remasters / Remastered 2006),2006-03-21
6Ieo4Lrku0sQ63Pd9G8j3L,Body & Soul,1996-05-21
21YbbJrVCRQIxB5W2EKIbr,Look Out! (Remastered),2007-01-01
1FXFyWXLIdOVgjR0MaRa9y,Tuesday Wonderland,2006-09-22
1OGhqJimAFVAtyX7PKbakD,Approaching Standards,1994-08-16
4jTDjHLMFCHWrjuP1qmCf4,Giant Steps (60th Anniversary Super Deluxe Edition) [2020 Remaster],2020-09-18
5LiPzuR79DTTmyROUm2luC,On Time,2001-04-02
6VflpBTIdO5wvutZII2Grw,Gilles Peterson - Magic Peterson Sunshine,2016-04-15
1XORY4rQNhqkZxTze6Px90,Piano Book (Deluxe Edition),2019-03-29
230jpjk9w7MGupNMMvXoaN,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59",2015-01-01
2y85NsbsBnGTXcXgHpj3PD,Songs from the Arc of Life,2015-09-18
657D9POYWMrDMK9MWNxPHL,Handel Sarabande,2002-01-01
4Ll3RGpn0eVY6MMKPTP99C,"Debussy: Suite bergamasque, L. 75, 3. Clair de lune",2018-07-27
4ZWDD7tNRRMB2eO4B5LsJh,Gnossienne No. 1,2013-01-01
72eREPpDWnlR5o2hUExugS,"I don't like classical music, but I really like this!",2014-06-13
2xhhbZySK489esUAtrs65j,Mahler: Symphony No. 5,1998-08-14
2K6XjvDKO2HTCDqGZkph9e,Aranjuez,2020-10-02
5lVqgXqdoIH3W1wUM2hzPx,Rachmaninov: Piano Concerto No.2,2012-01-01
12TLeKJv0q5fnF2obaf6Is,Liszt,2011-08-23
39Hh5k01di42nUCLn8Wxqu,Liszt - My Piano Hero,2011-07-25
1EICPBWv4fDj3sy3vn6p0y,Quirk,2008-01-01
4bNwPPpk01D8pVV9IFSBde,"Beethoven: Piano Sonatas, Vol.3",2007-09-25
4XtXDGPvBn9DMDWuqZ0uX9,Mozart: Eine Kleine Nachtmusik,1998-01-01
3QXtNXmOyrOfZ2mWG4rw9v,Rimsky-Korsakov: Scheherezade,1999-02-01
3hW1TEeZRJ01XycQFABjj9,"Chopin: Piano Sonata No. 2, Nocturnes, Barcarolle & Scherzo",2000-01-01
5hOFetItodSTqXX2uKz5Pa,Tchaikovsky: Piano Concerto No.1; Prokofiev: Piano Concerto No.3,2014-01-01
7Gi7VwRTgcVL9jKilHtztX,Handel: Coronation Anthems; Concerti a Due Cori,1995-01-01
5yuG2LEkf7QA9ZGIXldCmy,"Recomposed By Max Richter: Vivaldi, The Four Seasons",2014-01-01
0WSePQx9rAMua5bZ3OZs5d,"Grieg: Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato (Radio Edit)",2024-07-16
72eREPpDWnlR5o2hUExugS,"I don't like classical music, but I really like this!",2014-06-13
249X9ZjhWATM2KlkcCh9pt,Bizet: Carmen,2003-02-25
4zW79KZjDenZMLXSGU0Mqu,Samuel Barber - Adagio,2010-01-18
2KpDg5XbaWzQWepVfDpefT,Lauridsen: O Magnum Mysterium / Lux Aeterna / Madrigali / Les Chansons Des Roses,2006-01-01
